#SpecID                              |     RAdeg      DEdeg|      snru|      snrg|      snrr|      snri|      snrz|          RV|        e_RV|    Teff|      e_Teff|q_Teff| TeffCor|        logg|      e_logg|q_logg| loggCor|        Vt|        e_Vt|q_Vt|   Vtcorr|    [Fe/H]|    e_[Fe/H]|q_[Fe/H]|[Fe/H]Cor|  [a/Fe]|   e_[a/Fe]|    [C/Fe]|   e_[C/Fe]|q_[C/Fe]|[C/Fe]Cor|    [N/Fe]|   e_[N/Fe]|q_[N/Fe]|[N/Fe]Cor|    [O/Fe]|   e_[O/Fe]|q_[O/Fe]|[O/Fe]Cor|   [Na/Fe]|  e_[Na/Fe]|q_[Na/Fe]|[Na/Fe]Cor|   [Mg/Fe]|  e_[Mg/Fe]|q_[Mg/Fe]|[Mg/Fe]Cor|   [Al/Fe]|  e_[Al/Fe]|q_[Al/Fe]|[Al/Fe]Cor|   [Si/Fe]|  e_[Si/Fe]|q_[Si/Fe]|[Si/Fe]Cor|   [Ca/Fe]|  e_[Ca/Fe]|q_[Ca/Fe]|[Ca/Fe]Cor|   [Ti/Fe]|  e_[Ti/Fe]|q_[Ti/Fe]|[Ti/Fe]Cor|   [Cr/Fe]|  e_[Cr/Fe]|q_[Cr/Fe]|[Cr/Fe]Cor|   [Mn/Fe]|  e_[Mn/Fe]|q_[Mn/Fe]|[Mn/Fe]Cor|   [Co/Fe]|  e_[Co/Fe]|q_[Co/Fe]|[Co/Fe]Cor|   [Ni/Fe]|  e_[Ni/Fe]|q_[Ni/Fe]|[Ni/Fe]Cor|   [Cu/Fe]|   e_[Cu/Fe]|q_[Cu/Fe]|[Cu/Fe]Cor|   [Ba/Fe]|   e_[Ba/Fe]|q_[Ba/Fe]|[Ba/Fe]Cor|        Chi2|       Chi2R|q_Chi2|      Chi2Na|     Chi2RNa|q_Chi2Na|   dSNRPlx|Mult|Uq|Name           |SubClass  |Filename
20111024-F5902-02-015               |331.393233  -1.482746|0.98|24.459999|49.5|74.559998|49.889999|-29.9313|5.06949|4757.05|36.6651|1.0|0.889441|4.59542|0.0671877|1.0|0.860503|1.54357|0.08347|1.0|0.484921|-0.10096|0.04456|1.0|0.938225|0.14502|0.01939|-0.16195|0.02808|1.0|0.868885|0.26215|0.09232|1.0|0.776172|0.0461|0.09159|1.0|0.794818|   0.37165|0.07734|1.0|0.778965|   0.13616|0.02873|1.0|0.819267|  -0.02022|0.10086|1.0|0.770472|-0.00458|0.08983|1.0|0.687367|0.21916|0.0335|1.0|0.794163|   0.06017|0.04802|1.0|0.74929|  -0.03750|0.03845|1.0|0.876523|  -0.09395|0.07946|1.0|0.930201|-0.01707|0.08273|1.0|0.813176|0.01531|0.04121|1.0|0.731422|       ---|999.0|0.0|0.367707|   0.46129|0.23729|1.0|0.790205|1.25495|2.45244|good|2.03609|1.6555|good|0.79132|YES|1.0|S3312335-012857|K5        |spec-55859-F5902_sp02-015.fits.gz
20111108-GAC_097N28_B1-03-086       | 95.966596  27.989525|13.84|85.660004|136.880005|191.039993|156.410004|46.5997|3.66946|5303.25|26.5516|1.0|0.944061|3.81405|0.0544166|1.0|0.919664|1.00256|0.05386|1.0|0.613905|0.23073|0.02267|1.0|0.937964|0.03069|0.01273|-0.21905|0.01908|1.0|0.837983|0.02818|0.04478|1.0|0.900687|-0.19514|0.06263|1.0|0.750882|   0.25841|0.05458|1.0|0.772869|   0.09191|0.02088|1.0|0.766414|   0.02471|0.05001|1.0|0.710729|0.03077|0.03372|1.0|0.821916|-0.05397|0.02428|1.0|0.915967|   0.03308|0.02774|1.0|0.741861|   0.02478|0.02951|1.0|0.811075|   0.16353|0.03246|1.0|0.918457|0.06071|0.03397|1.0|0.83526|0.11052|0.02486|1.0|0.77186|  -0.20243|0.26364|1.0|0.609102|  -0.34590|0.15936|1.0|0.67088|1.95576|1.62902|good|9.83213|1.25741|good|-2.9086|YES|1.0|S0955759+275922|G7        |spec-55874-GAC_097N28_B1_sp03-086.fits.gz
20111203-B9903-13-227               | 16.259791  27.481092|1.24|24.860001|51.150002|49.939999|46.900002|-28.0186|4.17911|4759.49|38.4908|1.0|0.907643|4.6373|0.0695151|1.0|0.877137|1.69407|0.19386|1.0|0.63718|-0.1588|0.04891|1.0|0.947678|0.02581|0.02255|-0.15638|0.02837|1.0|0.88521|0.10868|0.11024|1.0|0.839584|0.12838|0.09937|1.0|0.823286|  -0.16877|0.08311|1.0|0.61905|  -0.02484|0.03611|1.0|0.758058|   0.08374|0.11125|1.0|0.634784|-0.05716|0.09228|1.0|0.653757|0.10378|0.03737|1.0|0.854093|   0.00607|0.05223|1.0|0.701363|   0.11181|0.04078|1.0|0.816163|  -0.08302|0.07803|1.0|0.897092|-0.11018|0.09298|1.0|0.729371|-0.03725|0.04525|1.0|0.814116|       ---|999.0|0.0|0.436167|  -0.12025|0.31753|1.0|0.569543|0.669662|0.25807|good|1.13665|0.394393|good|0.0|YES|1.0|S0161532+272851|K3        |spec-55899-B9903_sp13-227.fits.gz
20111215-GAC_082N27_B1-07-183       | 89.412625  26.353219|1.52|35.279999|109.540001|163.509995|143.320007|29.3887|4.23007|4631.58|26.5499|1.0|0.904869|2.02754|0.06457|1.0|0.765482|1.64484|0.05745|1.0|0.723089|-0.24616|0.02861|1.0|0.948618|-0.01899|0.01674|-0.28967|0.02257|1.0|0.773095|0.37136|0.04677|1.0|0.843357|0.07837|0.0693|1.0|0.8116|   0.37360|0.05949|1.0|0.747147|  -0.02164|0.04339|1.0|0.632462|  -0.11772|0.07776|1.0|0.354675|0.0572|0.05293|1.0|0.73048|-0.02812|0.02246|1.0|0.913113|  -0.03002|0.0379|1.0|0.655524|   0.04795|0.04998|1.0|0.780778|  -0.17264|0.07191|1.0|0.807312|-0.09239|0.04525|1.0|0.815823|0.02484|0.02656|1.0|0.718225|       ---|999.0|0.0|0.440066|   0.93016|0.13674|1.0|0.729631|1.04297|3.66231|good|1.57453|0.388741|good|0.0|YES|1.0|S0892445+262111|G5        |spec-55911-GAC_082N27_B1_sp07-183.fits.gz
20120104-B5593103-01-013            | 57.100238  47.963266|2.72|34.259998|39.799999|25.940001|26.67|2.62019|4.95857|4866.27|33.4583|1.0|0.936569|4.52185|0.0622449|1.0|0.901415|1.76488|0.18879|1.0|0.698922|-0.09622|0.0463|1.0|0.961433|0.00489|0.01994|-0.17189|0.02418|1.0|0.884666|0.03734|0.08999|1.0|0.871096|0.12406|0.07955|1.0|0.838217|  -0.32238|0.08008|1.0|0.60166|  -0.04875|0.03061|1.0|0.817043|   0.13828|0.10429|1.0|0.626812|-0.14471|0.08032|1.0|0.719689|0.07753|0.03522|1.0|0.88841|   0.04978|0.04531|1.0|0.767455|  -0.03970|0.03403|1.0|0.861962|  -0.04800|0.05609|1.0|0.897772|-0.1273|0.07681|1.0|0.794609|0.00918|0.03857|1.0|0.835783|       ---|999.0|0.0|0.526169|   0.24543|0.22315|1.0|0.676597|0.429531|-0.729482|good|2.2054|1.81448|good|-3.41668|YES|1.0|S0570600+475747|K3        |spec-55931-B5593103_sp01-013.fits.gz
20120112-GAC_061N46_V3-09-126       | 63.040029  47.217609|1.43|26.719999|87.540001|128.360001|112.529999|-2.38035|3.55854|4775.97|35.8791|1.0|0.92071|2.96284|0.0811575|1.0|0.875939|1.25541|0.08004|1.0|0.694237|-0.00688|0.03502|1.0|0.946739|0.01593|0.02097|-0.2102|0.02872|1.0|0.846186|0.33223|0.0601|1.0|0.87494|0.06249|0.09151|1.0|0.84271|   0.29233|0.06916|1.0|0.726944|   0.13655|0.04263|1.0|0.740908|   0.11929|0.09586|1.0|0.590269|0.00493|0.06142|1.0|0.758239|-0.02831|0.03106|1.0|0.910911|  -0.02583|0.0487|1.0|0.672299|   0.16905|0.05324|1.0|0.81586|   0.14920|0.07314|1.0|0.907107|0.04021|0.05645|1.0|0.828393|0.01415|0.03284|1.0|0.733111|       ---|999.0|0.0|0.444643|   0.40730|0.20177|1.0|0.742543|0.616853|1.86496|good|1.90644|1.17491|good|0.0|YES|1.0|S0630224+471303|G5        |spec-55939-GAC_061N46_V3_sp09-126.fits.gz
20120113-GAC_103N06_V2-09-058       |104.549480   7.768118|6.98|69.550003|150.210007|184.330002|152.410004|54.0106|3.37866|4670.74|22.8825|1.0|0.913887|2.27573|0.0574004|1.0|0.830055|1.46876|0.03679|1.0|0.746877|-0.1678|0.02447|1.0|0.957997|-0.02214|0.01356|-0.28037|0.01833|1.0|0.830543|0.23736|0.04324|1.0|0.891859|-0.02646|0.05931|1.0|0.844615|   0.37887|0.04583|1.0|0.76236|  -0.03176|0.0314|1.0|0.649444|  -0.08312|0.07238|1.0|0.336437|-0.06404|0.04126|1.0|0.721953|-0.02222|0.01961|1.0|0.9247|   0.00591|0.02848|1.0|0.684995|   0.08090|0.03518|1.0|0.803889|   0.04720|0.04723|1.0|0.882875|-0.00342|0.03598|1.0|0.826123|-0.03228|0.02042|1.0|0.728558|       ---|999.0|0.0|0.483843|   0.65630|0.10338|1.0|0.729258|0.898844|1.52486|good|3.01902|0.286412|good|0.0|YES|1.0|S1043258+074605|G5        |spec-55940-GAC_103N06_V2_sp09-058.fits.gz
20120125-F5595206-07-015            |195.651519  54.534517|2.85|56.93|129.179993|157.850006|113.669998|-62.4887|3.87931|4633.78|22.8596|1.0|0.864262|4.64149|0.038478|1.0|0.844355|1.42504|0.05991|1.0|0.482124|-0.15628|0.03154|1.0|0.918659|0.10612|0.01126|-0.14318|0.01458|1.0|0.886311|0.11429|0.05698|1.0|0.747741|0.17232|0.05188|1.0|0.775996|   0.09396|0.0436|1.0|0.628937|   0.00319|0.01956|1.0|0.721852|   0.08512|0.04897|1.0|0.594288|0.07912|0.04093|1.0|0.603872|0.18823|0.01966|1.0|0.779932|   0.14112|0.02192|1.0|0.645503|   0.05880|0.0197|1.0|0.804398|  -0.22009|0.03637|1.0|0.880575|0.08782|0.04382|1.0|0.711274|-0.01113|0.02171|1.0|0.741595|       ---|999.0|0.0|0.43279|   0.09925|0.14339|1.0|0.624411|1.36564|0.793302|good|3.50972|1.39263|good|0.31169|YES|1.0|S1953905+543203|K5        |spec-55952-F5595206_sp07-015.fits.gz
20120128-GAC_103N06_V5-08-023       |104.510720   5.959580|1.0|27.450001|78.889999|129.190002|123.419998|21.9088|4.11015|4750.77|35.4602|1.0|0.923088|2.81865|0.0809891|1.0|0.88466|1.17519|0.07792|1.0|0.737459|-0.0464|0.03529|1.0|0.956099|0.02813|0.02123|-0.14207|0.02887|1.0|0.885555|0.23177|0.05721|1.0|0.914382|0.08618|0.08805|1.0|0.867644|   0.07743|0.09793|1.0|0.608932|  -0.00297|0.04403|1.0|0.753813|   0.20753|0.09768|1.0|0.63544|0.01432|0.06689|1.0|0.778302|0.04751|0.03056|1.0|0.923467|   0.02417|0.04951|1.0|0.716512|   0.12488|0.05703|1.0|0.818329|   0.06305|0.0745|1.0|0.91265|0.04836|0.05561|1.0|0.849011|-0.00871|0.03399|1.0|0.753985|       ---|999.0|0.0|0.462453|  -0.34001|0.27719|1.0|0.636239|0.46736|1.18201|good|0.657864|-0.272167|good|0.0|YES|1.0|S1043038+055734|G5        |spec-55955-GAC_103N06_V5_sp08-023.fits.gz
20120203-B5596106-10-079            |179.680188  30.393635|2.16|38.18|39.639999|53.02|40.939999|1.75079|4.01122|4455.13|34.5124|1.0|0.91599|2.31121|0.092438|1.0|0.842288|1.27076|0.06662|1.0|0.767791|-0.02929|0.04063|1.0|0.950707|0.00211|0.0227|-0.1767|0.02572|1.0|0.891264|0.0791|0.06325|1.0|0.890384|-0.10503|0.07001|1.0|0.898067|  -0.04110|0.0868|1.0|0.514142|   0.03144|0.04957|1.0|0.627047|  -0.03557|0.13833|1.0|0.61532|0.08006|0.07331|1.0|0.702398|-0.07806|0.03309|1.0|0.906083|   0.10992|0.04802|1.0|0.650514|   0.01738|0.0457|1.0|0.762075|  -0.07725|0.07447|1.0|0.87936|-0.04608|0.06129|1.0|0.776096|0.07302|0.04014|1.0|0.740419|       ---|999.0|0.0|0.331455|   0.06680|0.23066|1.0|0.588283|0.364835|0.500558|good|0.465419|-0.619456|good|0.0|YES|1.0|S1794048+302337|G5        |spec-55961-B5596106_sp10-079.fits.gz
20120210-GAC_070N40_V4-02-027       | 68.169696  39.340282|2.79|46.02|100.769997|141.179993|113.860001|-3.37866|4.14913|4700.97|23.7656|1.0|0.871849|4.6631|0.0401873|1.0|0.851898|1.35404|0.10367|1.0|0.505868|-0.03212|0.03177|1.0|0.91905|0.05558|0.01206|-0.18168|0.01559|1.0|0.871137|0.10864|0.05659|1.0|0.747725|0.17851|0.06066|1.0|0.772478|   0.13774|0.04356|1.0|0.694659|  -0.07537|0.02031|1.0|0.74413|   0.00036|0.05221|1.0|0.630749|-0.07273|0.0433|1.0|0.612164|0.16482|0.02072|1.0|0.797002|   0.13845|0.02511|1.0|0.677379|   0.05911|0.02099|1.0|0.82747|  -0.07773|0.04004|1.0|0.883769|0.02618|0.04698|1.0|0.730537|-0.04524|0.02176|1.0|0.743435|       ---|999.0|0.0|0.505439|   0.21645|0.15751|1.0|0.685414|1.05166|0.383627|good|1.38002|-0.20458|good|0.79594|YES|1.0|S0681010+392025|K5        |spec-55968-GAC_070N40_V4_sp02-027.fits.gz
20120218-GAC_099N04_V1-11-005       | 99.492842   6.601951|3.02|42.41|72.739998|102.379997|81.010002|61.7902|4.17911|4932.73|25.8359|1.0|0.938959|4.64868|0.0489377|1.0|0.894939|1.23758|0.12648|1.0|0.622024|0.14706|0.03419|1.0|0.952252|0.0447|0.01494|-0.16756|0.01949|1.0|0.920795|0.13758|0.0634|1.0|0.882903|-0.0308|0.06321|1.0|0.895613|  -0.04127|0.06207|1.0|0.62692|   0.04683|0.02384|1.0|0.840425|  -0.06856|0.06597|1.0|0.707709|-0.0581|0.05528|1.0|0.770463|0.05872|0.0254|1.0|0.897348|   0.05439|0.03447|1.0|0.758451|   0.03972|0.02838|1.0|0.869215|   0.08466|0.0436|1.0|0.927704|0.0002|0.05554|1.0|0.799797|0.02203|0.02899|1.0|0.816823|  -0.26085|0.28337|1.0|0.521149|  -0.39663|0.24618|1.0|0.558314|0.657408|-0.0764281|good|2.19788|1.34343|good|0.89781|YES|1.0|S0992934+063607|K3        |spec-55976-GAC_099N04_V1_sp11-005.fits.gz
20120306-B5599307-10-093            |224.900051  25.447620|10.8|80.720001|125.959999|181.429993|144.800003|-34.8689|3.63049|5154.77|22.4317|1.0|0.963961|4.58331|0.0415626|1.0|0.915058|1.6231|0.06788|1.0|0.787798|-0.1063|0.02858|1.0|0.97152|0.05686|0.01109|-0.14195|0.01664|1.0|0.936267|-0.02357|0.04542|1.0|0.923411|0.01492|0.06008|1.0|0.885787|  -0.31538|0.05207|1.0|0.653145|   0.11536|0.0178|1.0|0.898546|   0.01990|0.04483|1.0|0.781091|-0.06088|0.04061|1.0|0.847979|0.04403|0.0188|1.0|0.95369|   0.00692|0.02547|1.0|0.833401|  -0.02477|0.02499|1.0|0.91123|   0.00169|0.03179|1.0|0.963167|-0.06736|0.04246|1.0|0.851174|-0.04485|0.02005|1.0|0.89783|  -0.52557|0.21657|1.0|0.46323|  -0.25038|0.15984|1.0|0.77623|1.07683|0.506127|good|3.78978|1.15151|good|1.25192|YES|1.0|S2245400+252651|G9        |spec-55993-B5599307_sp10-093.fits.gz
20120312-GAC_112N06_V2-15-187       |111.889980   7.831005|0.48|21.49|66.300003|110.139999|91.870003|103.389|3.57053|4198.46|32.2331|1.0|0.896062|1.52681|0.0846205|1.0|0.72324|1.63433|0.09367|1.0|0.793513|-0.52227|0.04296|1.0|0.965559|0.1048|0.02256|-0.1064|0.02849|1.0|0.880212|0.24854|0.05801|1.0|0.868158|0.17364|0.08676|1.0|0.85365|   0.12590|0.10223|1.0|0.425224|       ---|999.0|0.0|0.430856|   0.16465|0.10527|1.0|0.530555|0.13778|0.07177|1.0|0.614019|0.05899|0.03006|1.0|0.884499|   0.25769|0.049|1.0|0.560109|   0.05464|0.06031|1.0|0.704061|  -0.17801|0.09585|1.0|0.768588|0.14778|0.06171|1.0|0.683414|0.10474|0.04218|1.0|0.720492|       ---|999.0|0.0|0.231445|   0.73386|0.23468|1.0|0.515607|0.533376|1.51142|good|0.970521|0.270942|good|0.0|YES|1.0|S1115323+074951|G5        |spec-55999-GAC_112N06_V2_sp15-187.fits.gz
20120425-B5604306-09-171            |247.211004  38.199372|2.63|39.700001|97.809998|121.07|89.589996|-21.2313|4.14913|4770.96|24.9794|1.0|0.90326|4.5504|0.0434701|1.0|0.878127|1.33533|0.11462|1.0|0.616941|0.11462|0.03219|1.0|0.933635|0.02164|0.01414|-0.16994|0.01703|1.0|0.908002|0.10867|0.0563|1.0|0.827135|0.10691|0.06225|1.0|0.833698|  -0.02988|0.04618|1.0|0.667763|  -0.01236|0.02481|1.0|0.753325|   0.03529|0.0519|1.0|0.61505|-0.09672|0.04901|1.0|0.684173|0.06848|0.02286|1.0|0.857403|   0.03580|0.03084|1.0|0.691709|   0.02933|0.0251|1.0|0.837404|   0.02514|0.04328|1.0|0.894779|-0.12326|0.05163|1.0|0.748713|0.00638|0.02638|1.0|0.790234|       ---|999.0|0.0|0.400468|  -0.08499|0.19324|1.0|0.555062|0.953428|0.652522|good|3.00248|1.73245|good|-3.00763|YES|1.0|S2471239+381157|K4        |spec-56043-B5604306_sp09-171.fits.gz
20120516-VB3_237S01_V1-15-169       |236.340710   0.172935|15.32|103.209999|196.899994|268.73999|212.470001|-6.6494|4.64978|5267.44|23.9283|1.0|0.938375|3.52515|0.0598306|1.0|0.890076|1.08346|0.09212|1.0|0.484829|-0.49698|0.0262|1.0|0.92544|0.21386|0.01358|0.01572|0.02124|1.0|0.785008|0.01205|0.05335|1.0|0.749981|0.28016|0.07323|1.0|0.548978|  -0.12452|0.06776|1.0|0.516378|   0.33537|0.02516|1.0|0.650284|   0.30249|0.05509|1.0|0.54837|0.07787|0.04302|1.0|0.645959|0.1794|0.02366|1.0|0.905623|   0.17641|0.02567|1.0|0.641507|  -0.02584|0.03796|1.0|0.617215|  -0.13492|0.05174|1.0|0.748174|0.0174|0.04595|1.0|0.684402|0.05341|0.02303|1.0|0.733791|       ---|999.0|0.0|0.522536|   0.02097|0.13703|1.0|0.631226|1.0704|0.97161|good|0.600935|-0.852099|good|0.95161|YES|1.0|S2362026+001022|G5        |spec-56064-VB3_237S01_V1_sp15-169.fits.gz
20120617-VB3_235N52_V2-09-118       |236.265030  53.416096|3.95|44.900002|113.82|147.5|122.879997|-17.5588|5.23138|5037.27|32.7936|1.0|0.934116|3.47762|0.0744082|1.0|0.922276|0.94719|0.10378|1.0|0.60464|-0.25567|0.02954|1.0|0.919695|0.03298|0.01968|-0.15141|0.02683|1.0|0.875503|0.02699|0.05576|1.0|0.879193|-0.11993|0.0847|1.0|0.778894|  -0.02185|0.06846|1.0|0.622171|   0.27190|0.03835|1.0|0.648363|   0.31081|0.0706|1.0|0.602325|-0.00481|0.05463|1.0|0.643543|-0.00621|0.03151|1.0|0.920379|  -0.16390|0.04224|1.0|0.547087|  -0.17394|0.05029|1.0|0.602447|  -0.04926|0.07127|1.0|0.852854|-0.08454|0.05696|1.0|0.69181|0.06613|0.03245|1.0|0.742929|  -0.70888|0.27967|1.0|0.376105|  -1.62710|0.27644|1.0|0.142124|0.892052|2.5969|good|2.07308|0.458413|good|0.0|YES|1.0|S2361554+532457|G7        |spec-56096-VB3_235N52_V2_sp09-118.fits.gz
20120930-EG030623N131114V01-10-092  | 44.162029  12.419197|6.32|54.68|61.630001|89.110001|88.32|53.6089|3.72042|4651.39|30.3273|1.0|0.921361|2.65669|0.0737625|1.0|0.866564|1.32422|0.0558|1.0|0.731916|-0.00481|0.03326|1.0|0.953774|-0.01035|0.0176|-0.24752|0.0232|1.0|0.853433|0.14635|0.05348|1.0|0.895188|-0.07405|0.06771|1.0|0.863004|   0.15683|0.07676|1.0|0.675455|  -0.03487|0.03785|1.0|0.596142|   0.14493|0.1093|1.0|0.582153|0.06991|0.05569|1.0|0.705148|-0.05575|0.02574|1.0|0.905195|   0.07518|0.03783|1.0|0.669292|   0.03607|0.0386|1.0|0.778314|   0.06430|0.05256|1.0|0.897207|0.02206|0.04997|1.0|0.796653|0.06383|0.03105|1.0|0.73015|       ---|999.0|0.0|0.403592|   0.23491|0.17153|1.0|0.608669|0.576665|0.823121|good|3.38908|0.86729|good|0.0|YES|1.0|S0440943+122509|G8        |spec-56201-EG030623N131114V01_sp10-092.fits.gz
20121003-EG020342N181511L02-06-147  | 33.237052  17.778165|0.74|34.720001|79.830002|82.93|87.010002|-29.5206|3.71143|4351.2|28.9094|1.0|0.885359|2.20243|0.0759551|1.0|0.809957|1.34894|0.06334|1.0|0.756968|-0.15985|0.03276|1.0|0.948142|0.06252|0.01967|-0.1388|0.02289|1.0|0.888482|0.19434|0.0501|1.0|0.861322|0.06355|0.06659|1.0|0.863509|  -0.00293|0.07198|1.0|0.609022|   0.08638|0.04445|1.0|0.635645|   0.37042|0.09533|1.0|0.570499|0.25876|0.06451|1.0|0.668451|-0.00257|0.02797|1.0|0.880513|   0.10533|0.04225|1.0|0.649562|   0.06415|0.04402|1.0|0.786404|  -0.20162|0.07518|1.0|0.878503|-0.02248|0.0526|1.0|0.771176|0.09099|0.033|1.0|0.701691|       ---|999.0|0.0|0.264485|   0.13400|0.18366|1.0|0.590711|0.523962|1.33369|good|2.01872|0.798453|good|0.0|YES|1.0|S0331413+174641|G5        |spec-56204-EG020342N181511L02_sp06-147.fits.gz
20121007-EG211454S070515B01-03-084  |317.333877  -7.270087|2.09|44.34|97.519997|171.039993|161.649994|4.20909|5.08148|4704.54|27.8258|1.0|0.910211|2.6758|0.0685653|1.0|0.866664|1.31931|0.06892|1.0|0.690661|-0.30581|0.02766|1.0|0.94476|0.14952|0.01629|-0.06977|0.02276|1.0|0.887702|0.19448|0.04099|1.0|0.885894|0.08836|0.06376|1.0|0.827013|   0.13207|0.0822|1.0|0.528284|   0.28537|0.03678|1.0|0.553574|   0.45251|0.07079|1.0|0.50753|0.20917|0.04953|1.0|0.596335|0.08558|0.02296|1.0|0.893845|   0.14478|0.03716|1.0|0.557673|  -0.00682|0.04555|1.0|0.650212|  -0.04855|0.0662|1.0|0.814159|0.12413|0.0504|1.0|0.680167|0.06073|0.02664|1.0|0.707579|       ---|999.0|0.0|0.343452|   0.03591|0.18917|1.0|0.557136|0.621461|1.53202|good|1.30982|-0.0610029|good|0.0|YES|1.0|S3172001-071612|G5        |spec-56208-EG211454S070515B01_sp03-084.fits.gz
20121017-EG034047S021957M01-04-227  | 55.662705  -2.464973|4.25|57.93|124.949997|161.160004|130.910004|-18.0205|3.89131|4851.41|28.5792|1.0|0.930482|3.28432|0.0634104|1.0|0.898082|1.11543|0.06541|1.0|0.695092|-0.04294|0.02728|1.0|0.937245|0.03021|0.0165|-0.15872|0.02341|1.0|0.893664|0.09625|0.0504|1.0|0.906747|0.04482|0.07265|1.0|0.851397|   0.04767|0.06078|1.0|0.64484|   0.06310|0.03331|1.0|0.718735|   0.06163|0.08702|1.0|0.639825|0.00055|0.0501|1.0|0.740195|-0.01756|0.02527|1.0|0.91449|   0.10098|0.03524|1.0|0.691037|   0.02446|0.03969|1.0|0.782713|   0.02626|0.05214|1.0|0.90317|0.02787|0.0471|1.0|0.798386|0.01941|0.02651|1.0|0.749332|       ---|999.0|0.0|0.436415|  -0.46765|0.19614|1.0|0.543103|0.818611|1.52773|good|2.1137|0.0942855|good|0.0|YES|1.0|S0553945-022753|G5        |spec-56218-EG034047S021957M01_sp04-227.fits.gz
20121024-GAC100N32B1-07-197         |102.499820  31.209534|1.3|22.879999|51.459999|66.059998|46.740002|29.3587|2.94096|4757.88|37.7859|1.0|0.903964|4.6256|0.0685611|1.0|0.875167|1.42764|0.11484|1.0|0.604051|0.06414|0.04687|1.0|0.939173|0.0071|0.02357|-0.19709|0.02689|1.0|0.903184|0.17478|0.09476|1.0|0.842259|-0.01796|0.09166|1.0|0.865774|   0.09272|0.08365|1.0|0.675125|  -0.01853|0.04033|1.0|0.730983|   0.05385|0.0938|1.0|0.601595|-0.13358|0.08804|1.0|0.655665|0.05215|0.03706|1.0|0.864385|   0.01047|0.05526|1.0|0.668043|  -0.01828|0.04112|1.0|0.822446|  -0.09784|0.08306|1.0|0.892526|-0.09121|0.08827|1.0|0.742877|-0.01739|0.04395|1.0|0.799235|       ---|999.0|0.0|0.42039|  -0.02011|0.34335|1.0|0.549482|0.39306|-0.772275|good|0.574656|-0.493957|good|-0.37123|YES|1.0|S1022959+311234|K4        |spec-56225-GAC100N32B1_sp07-197.fits.gz
20121029-EG231518N122615V01-09-047  |349.719693  13.286702|18.84|181.929993|534.52002|600.280029|486.809998|-19.1298|3.1808|4752.3|16.843|1.0|0.913691|2.52792|0.0411547|1.0|0.867792|1.3959|0.03301|1.0|0.791488|-0.07792|0.01693|1.0|0.960767|-0.0397|0.00845|-0.25528|0.01282|1.0|0.867719|0.12481|0.02819|1.0|0.914569|-0.12592|0.0396|1.0|0.870553|   0.00799|0.04158|1.0|0.650777|  -0.05410|0.0174|1.0|0.677999|   0.04733|0.04864|1.0|0.497557|-0.00829|0.02657|1.0|0.743987|-0.09894|0.01395|1.0|0.927905|   0.03412|0.0155|1.0|0.698027|   0.11364|0.02282|1.0|0.816809|   0.08339|0.02069|1.0|0.902648|-0.04408|0.02049|1.0|0.840082|0.004|0.0146|1.0|0.774948|       ---|999.0|0.0|0.460268|   0.55515|0.05666|1.0|0.719246|4.80257|2.23218|good|62.4991|3.43009|good|0.0|YES|1.0|S3494310+131712|G5        |spec-56230-EG231518N122615V01_sp09-047.fits.gz
20121101-EG040217S013757V01-03-091  | 59.161402  -1.695128|7.91|35.16|49.029999|83.290001|80.029999|13.5296|4.22108|5593.18|31.2837|1.0|0.914524|3.54681|0.0719668|1.0|0.854312|0.79255|0.12061|1.0|0.550527|0.22002|0.04182|1.0|0.912152|0.03493|0.02368|-0.18831|0.02627|1.0|0.770714|0.06537|0.05748|1.0|0.86635|-0.20001|0.08162|1.0|0.385498|   0.18080|0.12056|1.0|0.786282|   0.10616|0.0439|1.0|0.811809|   0.15689|0.10013|1.0|0.793361|0.02083|0.06196|1.0|0.869027|-0.00085|0.03728|1.0|0.890815|   0.00835|0.05936|1.0|0.785156|   0.00643|0.06878|1.0|0.808896|   0.12466|0.08301|1.0|0.902653|0.03424|0.07512|1.0|0.868468|0.10216|0.0467|1.0|0.741269|   0.79526|0.30531|1.0|0.579364|  -0.17825|0.37985|1.0|0.820243|0.44998|-0.313788|good|0.250072|-0.996473|good|-1.11161|YES|1.0|S0590941-014142|G4        |spec-56233-EG040217S013757V01_sp03-091.fits.gz
20121122-HD092603S011405M01-05-036  |140.963803  -2.244931|6.26|84.589996|149.639999|189.460007|144.059998|18.3113|4.14013|5418.37|22.579|1.0|0.939781|4.39657|0.0443011|1.0|0.909981|1.16738|0.10292|1.0|0.684923|-0.12855|0.03086|1.0|0.947172|0.08546|0.01312|-0.09665|0.01988|1.0|0.921229|-0.01127|0.0498|1.0|0.902214|0.00373|0.07905|1.0|0.783453|  -0.14383|0.06485|1.0|0.731739|   0.13206|0.02058|1.0|0.835051|   0.09007|0.04895|1.0|0.801094|0.02239|0.04095|1.0|0.86775|0.09526|0.02455|1.0|0.945874|   0.01102|0.02898|1.0|0.828273|   0.02335|0.0331|1.0|0.875967|   0.01794|0.0393|1.0|0.934172|-0.06517|0.04571|1.0|0.862643|0.00417|0.02196|1.0|0.895731|   0.18461|0.2262|1.0|0.801967|  -0.65737|0.22758|1.0|0.615091|0.598444|-0.68387|good|0.401226|-0.928115|good|0.90676|YES|1.0|S1405749-021441|G7        |spec-56254-HD092603S011405M01_sp05-036.fits.gz
